IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.91.215.133,443,443,true,FRA,Europe,Frankfurt,257,5.40
34.116.219.69,443,443,true,FRA,Europe,Frankfurt,350,5.39
34.118.2.147,443,443,true,FRA,Europe,Frankfurt,375,5.39
34.32.159.218,443,443,true,FRA,Europe,Frankfurt,258,5.39
34.116.143.136,443,443,true,FRA,Europe,Frankfurt,266,5.37
34.65.41.222,443,443,true,FRA,Europe,Frankfurt,267,5.36
34.118.80.175,443,443,true,FRA,Europe,Frankfurt,267,5.35
34.32.227.102,443,443,true,FRA,Europe,Frankfurt,256,5.31
34.91.66.231,443,443,true,FRA,Europe,Frankfurt,256,5.31
34.116.142.89,443,443,true,FRA,Europe,Frankfurt,270,5.31
34.118.14.66,443,443,true,FRA,Europe,Frankfurt,324,5.30
34.116.205.141,443,443,true,FRA,Europe,Frankfurt,347,5.30
34.65.181.153,443,443,true,FRA,Europe,Frankfurt,250,5.30
34.118.0.250,443,443,true,FRA,Europe,Frankfurt,357,5.29
34.118.26.169,443,443,true,FRA,Europe,Frankfurt,268,5.28
34.65.97.237,443,443,true,FRA,Europe,Frankfurt,250,5.28
34.116.176.165,443,443,true,FRA,Europe,Frankfurt,266,5.28
34.118.114.231,443,443,true,FRA,Europe,Frankfurt,267,5.28
34.65.123.126,443,443,true,FRA,Europe,Frankfurt,250,5.28
34.116.247.197,443,443,true,FRA,Europe,Frankfurt,267,5.27
34.116.152.33,443,443,true,FRA,Europe,Frankfurt,265,5.27
34.116.152.33,443,443,true,FRA,Europe,Frankfurt,363,5.27
34.118.91.9,443,443,true,FRA,Europe,Frankfurt,267,5.26
35.204.115.8,443,443,true,FRA,Europe,Frankfurt,256,5.26
34.116.195.249,443,443,true,FRA,Europe,Frankfurt,269,5.26
34.118.29.115,443,443,true,FRA,Europe,Frankfurt,267,5.25
34.116.205.141,443,443,true,FRA,Europe,Frankfurt,270,5.25
34.91.119.31,443,443,true,FRA,Europe,Frankfurt,262,5.25
34.118.11.220,443,443,true,FRA,Europe,Frankfurt,285,5.25
34.118.38.185,443,443,true,FRA,Europe,Frankfurt,351,5.25
34.118.114.236,443,443,true,FRA,Europe,Frankfurt,266,5.25
34.65.71.15,443,443,true,FRA,Europe,Frankfurt,249,5.25
34.118.70.10,443,443,true,FRA,Europe,Frankfurt,335,5.25
34.116.132.31,443,443,true,FRA,Europe,Frankfurt,268,5.24
34.65.212.37,443,443,true,FRA,Europe,Frankfurt,253,5.24
34.118.99.186,443,443,true,FRA,Europe,Frankfurt,268,5.24
34.116.132.31,443,443,true,FRA,Europe,Frankfurt,582,5.24
34.116.247.197,443,443,true,FRA,Europe,Frankfurt,347,5.23
34.118.114.231,443,443,true,FRA,Europe,Frankfurt,275,5.23
34.118.80.178,443,443,true,FRA,Europe,Frankfurt,268,5.23
34.116.218.79,443,443,true,FRA,Europe,Frankfurt,348,5.23
34.116.241.33,443,443,true,FRA,Europe,Frankfurt,334,5.22
34.118.105.216,443,443,true,FRA,Europe,Frankfurt,267,5.22
34.90.84.203,443,443,true,FRA,Europe,Frankfurt,256,5.22
34.116.179.88,443,443,true,FRA,Europe,Frankfurt,267,5.21
34.118.91.61,443,443,true,FRA,Europe,Frankfurt,268,5.21
34.116.191.144,443,443,true,FRA,Europe,Frankfurt,321,5.20
34.116.143.136,443,443,true,FRA,Europe,Frankfurt,331,5.20
34.116.131.199,443,443,true,FRA,Europe,Frankfurt,547,5.20
34.118.127.239,443,443,true,FRA,Europe,Frankfurt,299,5.20
34.91.66.231,443,443,true,FRA,Europe,Frankfurt,259,5.20
34.65.60.71,443,443,true,FRA,Europe,Frankfurt,251,5.19
34.118.33.110,443,443,true,FRA,Europe,Frankfurt,349,5.19
34.116.161.128,443,443,true,FRA,Europe,Frankfurt,267,5.19
34.118.5.104,443,443,true,FRA,Europe,Frankfurt,266,5.18
34.118.3.150,443,443,true,FRA,Europe,Frankfurt,266,5.18
34.116.240.198,443,443,true,FRA,Europe,Frankfurt,337,5.16
34.116.255.60,443,443,true,FRA,Europe,Frankfurt,409,5.15
34.116.142.118,443,443,true,FRA,Europe,Frankfurt,266,5.15
34.118.69.58,443,443,true,FRA,Europe,Frankfurt,356,5.15
34.118.33.110,443,443,true,FRA,Europe,Frankfurt,273,5.15
34.116.218.79,443,443,true,FRA,Europe,Frankfurt,270,5.14
34.116.157.223,443,443,true,FRA,Europe,Frankfurt,333,5.14
34.116.241.33,443,443,true,FRA,Europe,Frankfurt,267,5.13
34.116.172.212,443,443,true,FRA,Europe,Frankfurt,333,5.12
34.118.33.218,443,443,true,FRA,Europe,Frankfurt,324,5.12
34.116.142.89,443,443,true,FRA,Europe,Frankfurt,346,5.11
