IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.221.90,2086,2086,false,SIN,Asia Pacific,Singapore,15,9.94
8.219.13.143,2096,2096,true,SIN,Asia Pacific,Singapore,62,9.93
8.219.106.15,80,80,false,SIN,Asia Pacific,Singapore,25,9.93
47.236.93.176,2087,2087,true,SIN,Asia Pacific,Singapore,68,9.93
8.210.192.93,2095,2095,false,HKG,Asia Pacific,Hong Kong,41,9.92
8.222.210.182,2086,2086,false,SIN,Asia Pacific,Singapore,12,9.92
47.236.254.120,8080,8080,false,SIN,Asia Pacific,Singapore,17,9.92
8.219.93.5,8880,8880,false,SIN,Asia Pacific,Singapore,18,9.92
47.236.174.206,2082,2082,false,SIN,Asia Pacific,Singapore,24,9.91
47.236.10.100,2096,2096,true,SIN,Asia Pacific,Singapore,94,9.91
8.222.180.86,2052,2052,false,SIN,Asia Pacific,Singapore,14,9.91
8.219.137.50,8080,8080,false,SIN,Asia Pacific,Singapore,23,9.90
47.236.116.26,2052,2052,false,SIN,Asia Pacific,Singapore,21,9.90
8.222.214.231,2096,2096,true,SIN,Asia Pacific,Singapore,23,9.90
8.219.238.145,2096,2096,true,SIN,Asia Pacific,Singapore,43,9.90
8.222.193.65,8080,8080,false,SIN,Asia Pacific,Singapore,4,9.89
47.236.11.84,8880,8880,false,SIN,Asia Pacific,Singapore,27,9.89
8.219.250.239,8880,8880,false,SIN,Asia Pacific,Singapore,6,9.89
8.219.137.50,2096,2096,true,SIN,Asia Pacific,Singapore,110,9.89
8.219.122.96,80,80,false,SIN,Asia Pacific,Singapore,71,9.89
8.219.40.37,2096,2096,true,SIN,Asia Pacific,Singapore,73,9.89
8.222.211.16,2096,2096,true,SIN,Asia Pacific,Singapore,40,9.87
47.74.13.122,2082,2082,false,NRT,Asia Pacific,Tokyo,154,9.87
47.236.168.17,2087,2087,true,SIN,Asia Pacific,Singapore,62,9.87
8.218.146.204,2083,2083,true,HKG,Asia Pacific,Hong Kong,63,9.86
8.222.224.17,2095,2095,false,SIN,Asia Pacific,Singapore,4,9.85
47.236.166.131,8880,8880,false,SIN,Asia Pacific,Singapore,27,9.85
47.236.172.71,80,80,false,SIN,Asia Pacific,Singapore,8,9.85
8.222.224.17,2096,2096,true,SIN,Asia Pacific,Singapore,127,9.85
47.236.169.164,8880,8880,false,SIN,Asia Pacific,Singapore,24,9.85
47.251.74.226,443,443,true,LAX,North America,Los Angeles,197,9.84
8.219.198.34,2095,2095,false,SIN,Asia Pacific,Singapore,20,9.84
8.219.40.37,2052,2052,false,SIN,Asia Pacific,Singapore,5,9.84
8.222.202.163,2083,2083,true,SIN,Asia Pacific,Singapore,104,9.84
8.222.221.86,2053,2053,true,SIN,Asia Pacific,Singapore,35,9.84
8.222.208.38,8443,8443,true,SIN,Asia Pacific,Singapore,69,9.84
8.218.22.210,2087,2087,true,HKG,Asia Pacific,Hong Kong,58,9.83
8.219.99.8,2086,2086,false,SIN,Asia Pacific,Singapore,30,9.83
47.236.130.95,80,80,false,SIN,Asia Pacific,Singapore,10,9.83
8.219.67.133,2053,2053,true,SIN,Asia Pacific,Singapore,149,9.83
8.222.136.247,80,80,false,SIN,Asia Pacific,Singapore,18,9.82
47.88.101.9,80,443,true,SJC,North America,San Jose,182,9.81
